mode: set
fluxcore/translate/anthropic.go:11.81,13.59 2 1
fluxcore/translate/anthropic.go:13.59,15.3 1 0
fluxcore/translate/anthropic.go:17.2,20.44 2 1
fluxcore/translate/anthropic.go:20.44,22.3 1 1
fluxcore/translate/anthropic.go:23.2,23.54 1 1
fluxcore/translate/anthropic.go:23.54,25.3 1 1
fluxcore/translate/anthropic.go:26.2,26.50 1 1
fluxcore/translate/anthropic.go:26.50,28.3 1 0
fluxcore/translate/anthropic.go:29.2,29.44 1 1
fluxcore/translate/anthropic.go:29.44,31.3 1 0
fluxcore/translate/anthropic.go:32.2,32.44 1 1
fluxcore/translate/anthropic.go:32.44,34.3 1 0
fluxcore/translate/anthropic.go:37.2,37.57 1 1
fluxcore/translate/anthropic.go:37.57,38.30 1 1
fluxcore/translate/anthropic.go:38.30,40.11 2 1
fluxcore/translate/anthropic.go:40.11,41.13 1 0
fluxcore/translate/anthropic.go:44.4,48.44 3 1
fluxcore/translate/anthropic.go:48.44,50.5 1 1
fluxcore/translate/anthropic.go:50.10,50.61 1 1
fluxcore/translate/anthropic.go:50.61,51.32 1 1
fluxcore/translate/anthropic.go:51.32,52.53 1 1
fluxcore/translate/anthropic.go:52.53,53.30 1 1
fluxcore/translate/anthropic.go:53.30,54.46 1 1
fluxcore/translate/anthropic.go:54.46,56.9 1 1
fluxcore/translate/anthropic.go:62.4,65.6 1 1
fluxcore/translate/anthropic.go:69.2,69.17 1 1
fluxcore/translate/anthropic.go:73.77,80.25 2 1
fluxcore/translate/anthropic.go:80.25,82.3 1 0
fluxcore/translate/anthropic.go:83.2,83.18 1 1
fluxcore/translate/anthropic.go:83.18,85.3 1 0
fluxcore/translate/anthropic.go:88.2,88.35 1 1
fluxcore/translate/anthropic.go:88.35,89.51 1 1
fluxcore/translate/anthropic.go:89.51,90.62 1 0
fluxcore/translate/anthropic.go:90.62,91.53 1 0
fluxcore/translate/anthropic.go:91.53,93.6 1 0
fluxcore/translate/anthropic.go:99.2,100.35 2 1
fluxcore/translate/anthropic.go:100.35,101.27 1 1
fluxcore/translate/anthropic.go:101.27,102.12 1 0
fluxcore/translate/anthropic.go:106.3,107.33 2 1
fluxcore/translate/anthropic.go:107.33,108.24 1 1
fluxcore/translate/anthropic.go:108.24,109.40 1 1
fluxcore/translate/anthropic.go:109.40,114.6 1 1
fluxcore/translate/anthropic.go:118.3,121.5 1 1
fluxcore/translate/anthropic.go:123.2,125.26 2 1
fluxcore/translate/anthropic.go:129.88,131.51 2 1
fluxcore/translate/anthropic.go:131.51,133.3 1 0
fluxcore/translate/anthropic.go:135.2,137.38 2 1
fluxcore/translate/anthropic.go:137.38,139.3 1 1
fluxcore/translate/anthropic.go:140.2,140.44 1 1
fluxcore/translate/anthropic.go:140.44,142.3 1 1
fluxcore/translate/anthropic.go:145.2,145.55 1 1
fluxcore/translate/anthropic.go:145.55,147.33 2 1
fluxcore/translate/anthropic.go:147.33,148.51 1 1
